,name,title,latitude,longtitude,address1,address2,address3,city,zip_code,country,state,display_address
21158,Sam's Cold Cuts,['Delis'],40.03739,-75.12352,173 W Chew Ave,,,Philadelphia,19120,US,PA,"173 W Chew Ave Philadelphia, PA 19120 "
21188,Thai Chef & Noodle Fusion,"['Thai', 'Noodles']",40.1576773543138,-74.9161435387844,157 W Lincoln Hwy,,Rt 1 Business,Penndel,19047,US,PA,"157 W Lincoln Hwy Rt 1 Business Penndel, PA 19047 "
21189,Bella Tori At the Mansion,"['Breakfast & Brunch', 'Venues & Event Spaces', 'American (Traditional)']",40.17355,-74.91874,321 S Bellevue Ave,,,Langhorne,19047,US,PA,"321 S Bellevue Ave Langhorne, PA 19047 "
21190,Crab Du Jour - Langhorne,"['Seafood', 'Bars', 'Cajun/Creole']",40.167111,-74.8968645,1201 E Lincoln Hwy,,,Langhorne,19047,US,PA,"1201 E Lincoln Hwy Langhorne, PA 19047 "
21191,Hulmeville Inn,"['Pubs', 'American (Traditional)']",40.1426391601562,-74.9113311767578,4 Trenton Rd,,,Hulmeville,19047,US,PA,"4 Trenton Rd Hulmeville, PA 19047 "
21192,Irish Rover Station House,"['American (Traditional)', 'Pubs']",40.1611369,-74.9124736,1033 S Bellevue Ave,,,Langhorne,19047,US,PA,"1033 S Bellevue Ave Langhorne, PA 19047 "
21193,OCI Bar & Grill,"['American (Traditional)', 'Sports Bars']",40.143655,-74.914244,11 Beaver St,,,Hulmeville,19047,US,PA,"11 Beaver St Hulmeville, PA 19047 "
21194,Johnson Hall Coffee House,"['Coffee & Tea', 'Breakfast & Brunch']",40.1799444403574,-74.8920641598247,3 Hulme Ave,,,Hulmeville,19047,US,PA,"3 Hulme Ave Hulmeville, PA 19047 "
21195,Trenton Tomato Pies,"['Pizza', 'Sandwiches', 'American (Traditional)']",40.15686,-74.918138,311 W Lincoln Hwy,,,Penndel,19047,US,PA,"311 W Lincoln Hwy Penndel, PA 19047 "
21196,Shumai Wok,"['Chinese', 'Japanese', 'Thai']",40.1569023,-74.918808,321 W Lincoln Hwy,,,Penndel,19047,US,PA,"321 W Lincoln Hwy Penndel, PA 19047 "
