,name,title,latitude,longtitude,address1,address2,address3,city,zip_code,country,state,display_address
0,Wissahickon Bar & Bistro,"['Burgers', 'Bars']",40.0171089172363,-75.21044921875,5109 Rochelle Ave,,,Philadelphia,19128,US,PA,"5109 Rochelle Ave Philadelphia, PA 19128 "
1,DJ Kitchen,"['Chinese', 'Bubble Tea']",40.007287,-75.212717,4040 City Ave,,,Philadelphia,19131,US,PA,"4040 City Ave Philadelphia, PA 19131 "
2,The Rook Manayunk,"['Breakfast & Brunch', 'Juice Bars & Smoothies', 'Sports Bars']",40.021691,-75.215963,4001 Cresson St,,,Philadelphia,19127,US,PA,"4001 Cresson St Philadelphia, PA 19127 "
3,Unity Taqueria,"['Tacos', 'Tex-Mex']",40.022452,-75.209024,5420 Ridge Ave,,,Philadelphia,19128,US,PA,"5420 Ridge Ave Philadelphia, PA 19128 "
4,Deke's Bar-B-Que,['Barbeque'],40.0152739,-75.2075673,4901 Ridge Ave,,,Philadelphia,19128,US,PA,"4901 Ridge Ave Philadelphia, PA 19128 "
5,Lisa's Kitchen,"['Sandwiches', 'Breakfast & Brunch', 'Steakhouses']",40.019251,-75.2107,5231 Ridge Ave,,,Philadelphia,19128,US,PA,"5231 Ridge Ave Philadelphia, PA 19128 "
6,Jason's Toridasu City Avenue,"['Burgers', 'Fast Food']",40.0084750866443,-75.2097653892913,3800 City Ave,Unit C,,Philadelphia,19131,US,PA,"3800 City Ave Unit C Philadelphia, PA 19131 "
7,The Landing Kitchen,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",40.016373088595714,-75.21422542177912,617 Righters Ferry Rd,,,Bala Cynwyd,19004,US,PA,"617 Righters Ferry Rd Bala Cynwyd, PA 19004 "
8,LeBus East Falls,"['American (Traditional)', 'Breakfast & Brunch', 'Burgers']",40.0088924745012,-75.193701647222,4201 Ridge Ave,,,Philadelphia,19129,US,PA,"4201 Ridge Ave Philadelphia, PA 19129 "
9,Pizzeria L'Angolo,"['Gluten-Free', 'American (Traditional)', 'Pizza']",40.02245,-75.2183,4105 Main St,,,Philadelphia,19127,US,PA,"4105 Main St Philadelphia, PA 19127 "
10,Foghorn,['Chicken Shop'],40.0091071614405,-75.1941820979118,4213 Ridge Ave,,,Philadelphia,19129,US,PA,"4213 Ridge Ave Philadelphia, PA 19129 "
11,Shan Chuan,"['Chinese', 'Japanese']",40.00922,-75.19407,4211 Ridge Ave,,,Philadelphia,19129,US,PA,"4211 Ridge Ave Philadelphia, PA 19129 "
12,Rox Cafe,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",40.01776772594151,-75.21120640972352,5134 Rochelle Ave,,,Philadelphia,19128,US,PA,"5134 Rochelle Ave Philadelphia, PA 19128 "
13,TGI Fridays,['American (Traditional)'],40.007927,-75.211183,4000 City Ave,,,Philadelphia,19131,US,PA,"4000 City Ave Philadelphia, PA 19131 "
14,LongHorn Steakhouse,"['Steakhouses', 'Barbeque', 'American (Traditional)']",40.0097499,-75.2120599,555 City Ave,,,Bala Cynwyd,19004,US,PA,"555 City Ave Bala Cynwyd, PA 19004 "
15,Cafe Bala,"['Sandwiches', 'Breakfast & Brunch', 'Bagels']",40.011447,-75.2177419,150 Monument Rd,,,Bala Cynwyd,19004,US,PA,"150 Monument Rd Bala Cynwyd, PA 19004 "
16,Slices Pizza,['Pizza'],40.0096599,-75.19541,4249 Ridge Ave,,,Philadelphia,19129,US,PA,"4249 Ridge Ave Philadelphia, PA 19129 "
17,Pat's Place,"['Sandwiches', 'Breakfast & Brunch']",40.02618,-75.21581,4200 Manayunk Ave,,,Philadelphia,19128,US,PA,"4200 Manayunk Ave Philadelphia, PA 19128 "
18,Major Wing Lee Grocery Market,"['Grocery', 'Delis', 'Sandwiches']",40.00914,-75.19397,4207 Ridge Ave,,,Philadelphia,19129,US,PA,"4207 Ridge Ave Philadelphia, PA 19129 "
19,CJ & Eck's,"['Sports Bars', 'American (Traditional)']",40.02547,-75.21302,384 Shurs Ln,,,Philadelphia,19128,US,PA,"384 Shurs Ln Philadelphia, PA 19128 "
20,Frank's Pizza,"['Pizza', 'Italian', 'Sandwiches']",40.01313,-75.19421,3600 Fisk Ave,,,Philadelphia,19129,US,PA,"3600 Fisk Ave Philadelphia, PA 19129 "
21,Scanlon's Saloon,"['Bars', 'American (Traditional)', 'Venues & Event Spaces']",40.02638,-75.21539,4201 Manayunk Ave,,,Philadelphia,19128,US,PA,"4201 Manayunk Ave Philadelphia, PA 19128 "
22,Franklin Stove Restaurant,['Restaurants'],40.0097499,-75.2120599,555 E City Ave,,,Bala Cynwyd,19004,US,PA,"555 E City Ave Bala Cynwyd, PA 19004 "
23,555 Gourmet Deli,"['Breakfast & Brunch', 'Sandwiches', 'Salad']",40.0097499,-75.2120599,555 E City Ave,,,Bala Cynwyd,19004,US,PA,"555 E City Ave Bala Cynwyd, PA 19004 "
24,Panera Bread,"['Salad', 'Sandwiches', 'Soup']",40.0083024,-75.2097637,3900 City Ave,,,Philadelphia,19131,US,PA,"3900 City Ave Philadelphia, PA 19131 "
25,Chipotle Mexican Grill,"['Mexican', 'Fast Food']",40.0075055544655,-75.2122489840441,4030 City Ave,,,Philadelphia,19131,US,PA,"4030 City Ave Philadelphia, PA 19131 "
26,The Corner Grill,['Delis'],40.0194667,-75.2106491,5243 Ridge Ave,,,Philadelphia,19128,US,PA,"5243 Ridge Ave Philadelphia, PA 19128 "
27,Golden Crust Pizza III,['Pizza'],40.009208,-75.1936719,3732 Midvale Ave,,,Philadelphia,19129,US,PA,"3732 Midvale Ave Philadelphia, PA 19129 "
28,Mike's Pizza,['Pizza'],40.0225585,-75.2184326,4111 Main St,,,Philadelphia,19127,US,PA,"4111 Main St Philadelphia, PA 19127 "
29,Machismo Burrito Bar,"['Mexican', 'Bars']",40.0261878967285,-75.2158203125,4200 Manayunk Ave,,,Philadelphia,19128,US,PA,"4200 Manayunk Ave Philadelphia, PA 19128 "
30,Fiorino,['Italian'],40.00975,-75.19039,3572 Indian Queen Ln,,,East Falls,19129,US,PA,"3572 Indian Queen Ln East Falls, PA 19129 "
31,In Riva,"['Italian', 'Pizza', 'Cocktail Bars']",40.0079689,-75.1923599,4116 Ridge Ave,,,Philadelphia,19129,US,PA,"4116 Ridge Ave Philadelphia, PA 19129 "
32,Terron,['Vegan'],40.011687,-75.18933,3426 Conrad St,,,Philadelphia,19129,US,PA,"3426 Conrad St Philadelphia, PA 19129 "
34,Bob's House of Crabs,['Seafood'],39.99737,-75.17982,2933 W Lehigh Ave,,,Philadelphia,19132,US,PA,"2933 W Lehigh Ave Philadelphia, PA 19132 "
35,Ms Molly’s Kitchen,"['Italian', 'American (Traditional)', 'Hot Dogs']",39.996073,-75.172931,2514 W Lehigh Ave,,,Philadelphia,19132,US,PA,"2514 W Lehigh Ave Philadelphia, PA 19132 "
36,Billy Murphy's Irish Saloon,"['Burgers', 'Irish Pub']",40.0107881329775,-75.1877212754631,3333 Conrad St,,,Philadelphia,19129,US,PA,"3333 Conrad St Philadelphia, PA 19129 "
37,NINE,"['Thai', 'Asian Fusion', 'Vegetarian']",39.97474,-75.18282,2829 W Girard Ave,,,Philadelphia,19130,US,PA,"2829 W Girard Ave Philadelphia, PA 19130 "
38,Down North Pizza,"['Pizza', 'Pop-Up Restaurants', 'Chicken Wings']",39.9967403,-75.1772234,2804 W Lehigh Ave,,,Philadelphia,19132,US,PA,"2804 W Lehigh Ave Philadelphia, PA 19132 "
39,Ummi Dee's burger bistro,"['Burgers', 'Cheesesteaks', 'Juice Bars & Smoothies']",39.99734,-75.16695,2805 N 22nd St,,,Philadelphia,19132,US,PA,"2805 N 22nd St Philadelphia, PA 19132 "
40,Trolley Car Cafe,"['American (Traditional)', 'Breakfast & Brunch']",40.0075082,-75.1913377,3269 S Ferry Rd,,,Philadelphia,19129,US,PA,"3269 S Ferry Rd Philadelphia, PA 19129 "
41,SPOT Gourmet Burgers,"['Burgers', 'Cheesesteaks']",39.9747101233332,-75.1825701445341,2821 W Girard Ave,,,Philadelphia,19130,US,PA,"2821 W Girard Ave Philadelphia, PA 19130 "
42,Irie Jamaican Restaurant,['Caribbean'],39.974236,-75.179942,2629 W Girard Ave,,,Philadelphia,19130,US,PA,"2629 W Girard Ave Philadelphia, PA 19130 "
43,Twenty Nine Oxford Restaurant,['Restaurants'],39.98053,-75.18201,2843 W Oxford St,,,Philadelphia,19121,US,PA,"2843 W Oxford St Philadelphia, PA 19121 "
45,ERA,"['Ethiopian', 'Dive Bars']",39.97314,-75.18199,2743 Poplar St,,,Philadelphia,19130,US,PA,"2743 Poplar St Philadelphia, PA 19130 "
47,HNT Chicken,['Chicken Wings'],40.0077753724724,-75.174374319613,2749 W Hunting Park Ave,,,Philadelphia,19129,US,PA,"2749 W Hunting Park Ave Philadelphia, PA 19129 "
48,Encore,"['Lounges', 'Cocktail Bars', 'American (Traditional)']",39.973804,-75.204514,4002 W Girard Ave,,,Philadelphia,19104,US,PA,"4002 W Girard Ave Philadelphia, PA 19104 "
49,Saudia Shuler's Country Cookin',['Soul Food'],39.99811,-75.1673,2836 N 22nd St,,,Philadelphia,19132,US,PA,"2836 N 22nd St Philadelphia, PA 19132 "
50,Bucky's Bar & Grill,"['Seafood', 'American (Traditional)', 'Sports Bars']",40.000575,-75.1662349,3017 N 22nd St,,,Philadelphia,19132,US,PA,"3017 N 22nd St Philadelphia, PA 19132 "
51,Champ’s Diner,"['Breakfast & Brunch', 'Diners', 'Salad']",39.9793014526367,-75.1609573364258,1539 Cecil B Moore Ave,,,Philadelphia,19121,US,PA,"1539 Cecil B Moore Ave Philadelphia, PA 19121 "
53,Franklin's,"['American (New)', 'Bars', 'Burgers']",40.0110062,-75.189062,3521 Bowman St,,,Philadelphia,19129,US,PA,"3521 Bowman St Philadelphia, PA 19129 "
54,Rybrew,"['Salad', 'American (New)', 'Sandwiches']",39.974214,-75.182504,2816 W Girard Ave,,,Philadelphia,19130,US,PA,"2816 W Girard Ave Philadelphia, PA 19130 "
55,Barkley's BBQ,"['Soul Food', 'Barbeque']",39.9869523271482,-75.1806329190731,2017 N 29th St,,,Philadelphia,19121,US,PA,"2017 N 29th St Philadelphia, PA 19121 "
56,iMunch Cafe,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",39.97592,-75.18627,1233 N 31st St,,,Philadelphia,19121,US,PA,"1233 N 31st St Philadelphia, PA 19121 "
57,Serious Seafood,['Seafood'],39.9815991376986,-75.173864364624,2340 Ridge Ave,,,Philadelphia,19121,US,PA,"2340 Ridge Ave Philadelphia, PA 19121 "
58,Green Eggs Cafe,"['Breakfast & Brunch', 'American (New)', 'Diners']",39.97413,-75.18211,2800 W Girard Ave,,,Philadelphia,19130,US,PA,"2800 W Girard Ave Philadelphia, PA 19130 "
59,Horticulture Center Pop up,"['American (New)', 'Pop-up Shops']",39.983482187000185,-75.21022305988457,100 N Horticultural Dr,,,Philadelphia,19131,US,PA,"100 N Horticultural Dr Philadelphia, PA 19131 "
60,New Star Pizza,['Pizza'],39.9905433654785,-75.1791687011719,2800 W Dauphin St,,,Philadelphia,19132,US,PA,"2800 W Dauphin St Philadelphia, PA 19132 "
61,Triple Joy,['Breakfast & Brunch'],39.991077,-75.178587,2301 N 29th St,,Strawberry Square Shopping Ctr,Philadelphia,19132,US,PA,"2301 N 29th St Strawberry Square Shopping Ctr Philadelphia, PA 19132 "
62,Tang's Halal Chinese Restaurant,"['Halal', 'Chinese']",39.98031,-75.17177,2223 Ridge Ave,,,Philadelphia,19121,US,PA,"2223 Ridge Ave Philadelphia, PA 19121 "
63,Cee's The Moment Barbecue,['Barbeque'],39.99274,-75.18615,33rd St & Ridge Ave,,,Philadelphia,19132,US,PA,"33rd St & Ridge Ave Philadelphia, PA 19132 "
64,Charlies Country Ribs,"['Barbeque', 'Soul Food', 'Sandwiches']",39.9870681762695,-75.1758804321289,2528 W Diamond St,,,Philadelphia,19121,US,PA,"2528 W Diamond St Philadelphia, PA 19121 "
65,Maxwells Carribean American Take Outs,['Caribbean'],39.987046,-75.161223,2200 N 17th St,,,Philadelphia,19132,US,PA,"2200 N 17th St Philadelphia, PA 19132 "
66,Berks Street Crabs,['Seafood'],39.981289,-75.179509408772,2718 Cecil B Moore Ave,,,Philadelphia,19121,US,PA,"2718 Cecil B Moore Ave Philadelphia, PA 19121 "
67,Jyoti Indian Bistro,['Indian'],39.97469,-75.18244,2817 W Girard Ave,,,Philadelphia,19130,US,PA,"2817 W Girard Ave Philadelphia, PA 19130 "
68,Philly Sunnyside Diner,"['Breakfast & Brunch', 'Diners']",39.97462,-75.18193,2801 W Girard Ave,,,Philadelphia,19130,US,PA,"2801 W Girard Ave Philadelphia, PA 19130 "
69,Bento Sushi,['Sushi Bars'],40.00964,-75.17776,2800 Fox St,,,Philadelphia,19129,US,PA,"2800 Fox St Philadelphia, PA 19129 "
70,Strictly Seafood,"['Seafood', 'Salad', 'Sandwiches']",39.9794590399265,-75.162886093522,1707 Cecil B Moore Ave,,,Philadelphia,19121,US,PA,"1707 Cecil B Moore Ave Philadelphia, PA 19121 "
72,Pj's Steak and Deli,['Delis'],39.98962,-75.18044,2204 N 29th St,,,Philadelphia,19132,US,PA,"2204 N 29th St Philadelphia, PA 19132 "
73,Bella's Breakfast & Lunch,['Breakfast & Brunch'],39.97962,-75.17074,2159 Ridge Ave,,,Philadelphia,19121,US,PA,"2159 Ridge Ave Philadelphia, PA 19121 "
75,Blue Jay Restaurant,['Diners'],39.9744148254395,-75.1837387084961,2900 W Girard Ave,,,Philadelphia,19130,US,PA,"2900 W Girard Ave Philadelphia, PA 19130 "
76,Deborah's Kitchen,['Soul Food'],39.9737815856934,-75.1792449951172,2608 Girard Ave,,,Philadelphia,19130,US,PA,"2608 Girard Ave Philadelphia, PA 19130 "
77,D'S Caribbean And American Food,"['Southern', 'Cajun/Creole', 'Caribbean']",40.000452,-75.1662905576721,3009 N 22nd St,,,Philadelphia,19132,US,PA,"3009 N 22nd St Philadelphia, PA 19132 "
78,Kitchen 89,['American (Traditional)'],39.9914741326685,-75.1857391744852,3212 Dauphin St,,,Philadelphia,19132,US,PA,"3212 Dauphin St Philadelphia, PA 19132 "
79,Hue Fusion Food Market,"['Delis', 'Asian Fusion', 'Korean']",39.979339,-75.161205,1601 Cecil B Moore St,,,Philadelphia,19121,US,PA,"1601 Cecil B Moore St Philadelphia, PA 19121 "
80,White Dog Cafe,"['Bars', 'American (New)', 'Breakfast & Brunch']",39.95352,-75.19293,3420 Sansom St,,,Philadelphia,19104,US,PA,"3420 Sansom St Philadelphia, PA 19104 "
81,Louie Louie,"['Salad', 'Burgers']",39.9532791038158,-75.1955875611394,3611 Walnut St,,,Philadelphia,19104,US,PA,"3611 Walnut St Philadelphia, PA 19104 "
82,Tipsy Bistro,"['Sports Bars', 'American (New)']",39.9522994,-75.186813,3131 Walnut St,,,Philadelphia,19104,US,PA,"3131 Walnut St Philadelphia, PA 19104 "
83,The Common PHL,['American (New)'],39.95658,-75.19448,3601 Market St,,,Philadelphia,19104,US,PA,"3601 Market St Philadelphia, PA 19104 "
84,New Deck Tavern,"['American (Traditional)', 'Irish', 'Gastropubs']",39.9534645080566,-75.1926040649414,3408 Sansom St,,,Philadelphia,19104,US,PA,"3408 Sansom St Philadelphia, PA 19104 "
85,Renata's Kitchen,"['Breakfast & Brunch', 'Middle Eastern', 'Mediterranean']",39.9496602,-75.2026672,3940 Baltimore Ave,,,Philadelphia,19104,US,PA,"3940 Baltimore Ave Philadelphia, PA 19104 "
86,Dim Sum House,"['Dim Sum', 'Cantonese', 'Venues & Event Spaces']",39.9557715,-75.2016544,3939 Chestnut St,Fl 2,,Philadelphia,19104,US,PA,"3939 Chestnut St Fl 2 Philadelphia, PA 19104 "
87,Baby Blues BBQ Philly,['Barbeque'],39.953536845429,-75.192420413012,3402 Sansom St,,,Philadelphia,19104,US,PA,"3402 Sansom St Philadelphia, PA 19104 "
88,Terakawa Ramen,['Ramen'],39.954715358369,-75.202095285058,125 S 40th St,,,Philadelphia,19104,US,PA,"125 S 40th St Philadelphia, PA 19104 "
89,Han Dynasty,['Szechuan'],39.9567105160991,-75.1971027810898,3711 Market St,,,Philadelphia,19104,US,PA,"3711 Market St Philadelphia, PA 19104 "
90,Kusina Philly,"['Filipino', 'Desserts']",39.943963,-75.209927,4612 Woodland Ave,,,Philadelphia,19143,US,PA,"4612 Woodland Ave Philadelphia, PA 19143 "
91,Distrito,"['Mexican', 'Cocktail Bars']",39.95592,-75.2020299,3945 Chestnut St,,,Philadelphia,19104,US,PA,"3945 Chestnut St Philadelphia, PA 19104 "
92,LaTao HotPot,['Hot Pot'],39.955271,-75.1975362,3717 Chestnut St,,,Philadelphia,19104,US,PA,"3717 Chestnut St Philadelphia, PA 19104 "
93,NAM Vietnamese Kitchen,['Vietnamese'],39.954865,-75.199825,3816 Chestnut St,Space 2,,Philadelphia,19104,US,PA,"3816 Chestnut St Space 2 Philadelphia, PA 19104 "
94,The Board & Brew,"['Beer Bar', 'Coffee & Tea', 'American (New)']",39.9534403364116,-75.1883720979095,3200 Chestnut St,Ste A,,Philadelphia,19104,US,PA,"3200 Chestnut St Ste A Philadelphia, PA 19104 "
95,Trattoria Carina,['Italian'],39.94878,-75.17803,2201 Spruce St,,,Philadelphia,19103,US,PA,"2201 Spruce St Philadelphia, PA 19103 "
96,Butcher Bar,"['Steakhouses', 'Bars', 'Comfort Food']",39.9520301000044,-75.1748960092664,2034 Chestnut St,,,Philadelphia,19103,US,PA,"2034 Chestnut St Philadelphia, PA 19103 "
97,Sabrina's Café,"['American (New)', 'Breakfast & Brunch', 'Cafes']",39.9593634437483,-75.1907977815767,227 N 34th St,,,Philadelphia,19104,US,PA,"227 N 34th St Philadelphia, PA 19104 "
98,Sang Kee Noodle House,"['Dim Sum', 'Noodles']",39.9548759224678,-75.193932521166,3549 Chestnut St,,,Philadelphia,19104,US,PA,"3549 Chestnut St Philadelphia, PA 19104 "
99,Mommy Telly's Famous BBQ,"['Filipino', 'Barbeque', 'Food Trucks']",39.9568972,-75.1890653,23 N 33rd St,,,Philadelphia,19104,US,PA,"23 N 33rd St Philadelphia, PA 19104 "
100,Ambrosia Ristorante BYOB,['Italian'],39.94997,-75.1796,231 S 24th St,,,Philadelphia,19103,US,PA,"231 S 24th St Philadelphia, PA 19103 "
101,Small Oven Pastry Shop,"['Bakeries', 'Desserts', 'Cafes']",39.939368,-75.180138,2204 Washington Ave,,,Philadelphia,19146,US,PA,"2204 Washington Ave Philadelphia, PA 19146 "
102,Don Barriga Mexican Grill,['Mexican'],39.9527859998733,-75.2121258353499,4443 Spruce St,Fl 1st,,Philadelphia,19104,US,PA,"4443 Spruce St Fl 1st Philadelphia, PA 19104 "
103,Bombay Dhabba - Philadelphia,['Indian'],39.95685949999944,-75.1941598999999,3601 Market St,,,Philadelphia,19104,US,PA,"3601 Market St Philadelphia, PA 19104 "
104,Lyn's,"['Sandwiches', 'Breakfast & Brunch', 'Food Trucks']",39.9507436920205,-75.1956453556036,3600 Spruce St,,,Philadelphia,19104,US,PA,"3600 Spruce St Philadelphia, PA 19104 "
105,Harper's Garden,"['American (New)', 'Tapas/Small Plates', 'Cocktail Bars']",39.9523171,-75.1700175,31 S 18th St,,,Philadelphia,19103,US,PA,"31 S 18th St Philadelphia, PA 19103 "
106,Yiro Yiro,"['Mediterranean', 'Greek']",39.9617950000087,-75.1575049999638,125-29 S 40th St,,,Philadelphia,19104,US,PA,"125-29 S 40th St Philadelphia, PA 19104 "
107,Federal Donuts,"['Donuts', 'Coffee & Tea', 'Comfort Food']",39.9535536,-75.1931768,3428 Sansom St,,,Philadelphia,19104,US,PA,"3428 Sansom St Philadelphia, PA 19104 "
108,Pitruco Pizza Franklin's Table,"['American (New)', 'Italian', 'Pizza']",39.953094,-75.192761,3401 Walnut St,,,Philadelphia,19104,US,PA,"3401 Walnut St Philadelphia, PA 19104 "
109,The Love,"['American (New)', 'Breakfast & Brunch', 'Burgers']",39.95077,-75.17085,130 S 18th St,,,Philadelphia,19103,US,PA,"130 S 18th St Philadelphia, PA 19103 "
110,Chengdu Famous Food,"['Noodles', 'Szechuan']",39.9591840099014,-75.194573333305,3635 Lancaster Ave,,,Philadelphia,19104,US,PA,"3635 Lancaster Ave Philadelphia, PA 19104 "
111,48th Street Grille,"['Caribbean', 'American (New)', 'Chicken Wings']",39.95313,-75.21878,310 S 48th St,,,Philadelphia,19143,US,PA,"310 S 48th St Philadelphia, PA 19143 "
112,Pod,"['Asian Fusion', 'Sushi Bars']",39.9539707735133,-75.1960369885711,3636 Sansom St,,,Philadelphia,19104,US,PA,"3636 Sansom St Philadelphia, PA 19104 "
113,Bad Brother,"['American (New)', 'Beer Bar', 'Burgers']",39.968629,-75.176888,726 N 24th St,,,Philadelphia,19130,US,PA,"726 N 24th St Philadelphia, PA 19130 "
114,Ochatto,"['Japanese', 'Bubble Tea', 'Noodles']",39.9545950447548,-75.1951047019373,3608 Chestnut St,,,Philadelphia,19104,US,PA,"3608 Chestnut St Philadelphia, PA 19104 "
115,Gia Pronto,"['Coffee & Tea', 'Pizza', 'Sandwiches']",39.9476279,-75.192598,3400 Civic Center Blvd.,,Perelman Ctr,Philadelphia,19104,US,PA,"3400 Civic Center Blvd. Perelman Ctr Philadelphia, PA 19104 "
116,Haveli Virasat,"['Indian', 'Pakistani', 'Halal']",39.95767,-75.20379,4051 Market St,,,Philadelphia,19104,US,PA,"4051 Market St Philadelphia, PA 19104 "
117,Pita Chip,['Mediterranean'],39.9566244,-75.194425,3601 Market St,,,Philadelphia,19104,US,PA,"3601 Market St Philadelphia, PA 19104 "
118,Vernick Food & Drink,"['American (New)', 'Beer, Wine & Spirits']",39.950901,-75.17485,2031 Walnut St,,,Philadelphia,19103,US,PA,"2031 Walnut St Philadelphia, PA 19103 "
119,Goldie,"['Falafel', 'Fast Food']",39.953074,-75.192585,3401 Walnut St,,,Philadelphia,19104,US,PA,"3401 Walnut St Philadelphia, PA 19104 "
120,Daleng Restaurant,"['Thai', 'Cambodian', 'Asian Fusion']",39.95597,-75.21542,4653 Walnut St,,,Philadelphia,19139,US,PA,"4653 Walnut St Philadelphia, PA 19139 "
121,Can Tho City,['Vietnamese'],39.95064,-75.19533,3600 Spruce St,,,Philadelphia,19104,US,PA,"3600 Spruce St Philadelphia, PA 19104 "
122,Cucina Zapata,"['Food Stands', 'Thai', 'Mexican']",39.95425,-75.18544,S 31st & Ludlow St,,,Philadelphia,19104,US,PA,"S 31st & Ludlow St Philadelphia, PA 19104 "
123,CO-OP Restaurant & Lounge,"['American (New)', 'Breakfast & Brunch', 'Coffee & Tea']",39.95452,-75.19002,20 S 33rd St,,,Philadelphia,19104,US,PA,"20 S 33rd St Philadelphia, PA 19104 "
124,Ramen Bar,"['Ramen', 'Bars']",39.957648,-75.19226,3400 Lancaster Ave,,,Philadelphia,19104,US,PA,"3400 Lancaster Ave Philadelphia, PA 19104 "
125,Bui's,"['Sandwiches', 'Food Stands']",39.95128,-75.19921,38th St & Spruce St,,,Philadelphia,19195,US,PA,"38th St & Spruce St Philadelphia, PA 19195 "
126,The Dandelion,"['Gastropubs', 'British']",39.951004,-75.170636,124 S 18th St,,,Philadelphia,19103,US,PA,"124 S 18th St Philadelphia, PA 19103 "
127,Parc,"['French', 'Wine Bars', 'Breakfast & Brunch']",39.9491724,-75.1707273,227 S 18th St,,,Philadelphia,19103,US,PA,"227 S 18th St Philadelphia, PA 19103 "
128,Franklin's Table,['Food Court'],39.9532,-75.19289,3401 Walnut St,,,Philadelphia,19104,US,PA,"3401 Walnut St Philadelphia, PA 19104 "
129,City Tap House,"['American (New)', 'Pubs']",39.9543092611596,-75.2013524735412,3925 Walnut St,Fl 2,Radian Balcony,Philadelphia,19104,US,PA,"3925 Walnut St Fl 2 Radian Balcony Philadelphia, PA 19104 "
130,Rock ‘N Flavors,"['Food Trucks', 'Burgers', 'Hot Dogs']",39.935627,-75.212245,5100 Grays Ave,,,Philadelphia,19143,US,PA,"5100 Grays Ave Philadelphia, PA 19143 "
131,7 Boys Cafe,['Seafood'],39.93314,-75.22399,5717 Woodland Ave,,,Philadelphia,19143,US,PA,"5717 Woodland Ave Philadelphia, PA 19143 "
132,Southern Inn,['Breakfast & Brunch'],39.93273,-75.22458,5741 Woodland Ave,,,Philadelphia,19143,US,PA,"5741 Woodland Ave Philadelphia, PA 19143 "
133,Trendsetters Bar & Lounge,"['Burgers', 'Lounges', 'Wraps']",39.93741282048872,-75.2179368,5301 Woodland Ave,,,Philadelphia,19143,US,PA,"5301 Woodland Ave Philadelphia, PA 19143 "
134,Samwhich,"['Sandwiches', 'Delis', 'Burgers']",39.9362983703613,-75.2195205688477,5411 Woodland Ave,,,Philadelphia,19143,US,PA,"5411 Woodland Ave Philadelphia, PA 19143 "
135,Le Baobab,['African'],39.93675,-75.21887,5353 Woodland Ave,,,Philadelphia,19143,US,PA,"5353 Woodland Ave Philadelphia, PA 19143 "
136,Jo Jo's Deli,"['Delis', 'Burgers', 'Sandwiches']",39.926075,-75.227638,2401 S 62nd St,,,Philadelphia,19142,US,PA,"2401 S 62nd St Philadelphia, PA 19142 "
137,Big Ben catering services,"['Salad', 'Breakfast & Brunch']",39.938018,-75.2169155,5215 Woodland Ave,,,Philadelphia,19143,US,PA,"5215 Woodland Ave Philadelphia, PA 19143 "
138,Foo Chow Restaurant,['Restaurants'],39.93249,-75.2249,5801 Woodland Ave,,,Philadelphia,19143,US,PA,"5801 Woodland Ave Philadelphia, PA 19143 "
139,Chester Family Pizza,['Pizza'],39.9384231567383,-75.2242889404297,5504 Chester Ave,,,Philadelphia,19143,US,PA,"5504 Chester Ave Philadelphia, PA 19143 "
140,Fred's Water Ice,"['Ice Cream & Frozen Yogurt', 'Food Stands']",39.939964,-75.2227354,5343 Chester Ave,,,Philadelphia,19143,US,PA,"5343 Chester Ave Philadelphia, PA 19143 "
141,The Legend of Seafood,['Seafood'],39.936419,-75.218565,5352 Woodland Ave,,,Philadelphia,19143,US,PA,"5352 Woodland Ave Philadelphia, PA 19143 "
142,Jakes Place,['Breakfast & Brunch'],39.9377308,-75.2254084,5550 Chester Ave,,,Philadelphia,19143,US,PA,"5550 Chester Ave Philadelphia, PA 19143 "
143,Mr Hook Fish & Chicken,['Chicken Wings'],39.9302,-75.22748,6000 Woodland Ave,,,Philadelphia,19142,US,PA,"6000 Woodland Ave Philadelphia, PA 19142 "
144,Popeyes Louisiana Kitchen,"['Chicken Wings', 'Fast Food']",39.938271565479,-75.2156104576721,5200 Woodland Ave,,,Philadelphia,19143,US,PA,"5200 Woodland Ave Philadelphia, PA 19143 "
145,Talk of The Town,['Diners'],39.932819,-75.224464,5735 Woodland Ave,,,Philadelphia,19143,US,PA,"5735 Woodland Ave Philadelphia, PA 19143 "
146,McDonald's,"['Fast Food', 'Coffee & Tea', 'Burgers']",39.9307946182992,-75.2276433154475,5945 Woodland Ave,,,Philadelphia,19143,US,PA,"5945 Woodland Ave Philadelphia, PA 19143 "
147,Texas Chicken & Burgers,"['Halal', 'Fast Food']",39.9307397667998,-75.2267041391493,5818 Woodland Ave,,,Philadelphia,19143,US,PA,"5818 Woodland Ave Philadelphia, PA 19143 "
148,MPK Deli,['Delis'],39.93864,-75.21618,5131 Woodland Ave,,,Philadelphia,19143,US,PA,"5131 Woodland Ave Philadelphia, PA 19143 "
149,Dibbs BBQ,['Barbeque'],39.9807200010341,-75.2344698831439,5617 Lancaster Ave,,,Philadelphia,19131,US,PA,"5617 Lancaster Ave Philadelphia, PA 19131 "
150,Ace Diner,['Diners'],39.98043,-75.23357,5517 Lancaster Ave,,,Philadelphia,19131,US,PA,"5517 Lancaster Ave Philadelphia, PA 19131 "
